Timestamp,Current_Price,Predicted_Price
1683680639,27754.37,27755.05754220777
1683680645,27753.52,27754.21405915007
1683680688,27753.85,27753.289399463094
1683680694,27753.86,27753.299399261105
1683680700,27753.85,27753.289399463094
1683680705,27757.54,27756.99579589447
1683680711,27751.97,27751.42590509784
1683680754,27752.58,27752.538107809938
1683680760,27746.96,27746.91811629326
1683680767,27746.97,27746.933146634543
1683680773,27742.12,27742.083153076284
1683680778,27740.52,27740.483155201397
1683680820,27725.74,27726.966295981943
1683680826,27725.73,27727.003309811193
1683680832,27725.73,27727.003309811193
1683680839,27723.26,27724.533196375934
1683680844,27723.26,27724.533196375934
1683680887,27718.78,27718.69110011935
1683680892,27724.0,27723.91108337773
1683680898,27724.72,27724.631081068543
1683680904,27727.8,27727.71107119034
1683680909,27727.79,27727.701071222415
1683680954,27732.46,27731.80872770778
1683680960,27732.47,27731.818727472943
1683680965,27730.67,27730.018769744347
1683680971,27730.67,27730.018769744347
1683680977,27730.66,27730.008769979187
1683681020,27744.93,27744.524104470558
1683681026,27744.94,27744.53410432426
1683681031,27744.93,27744.524104470558
1683681037,27744.94,27744.53410432426
1683681043,27744.94,27744.53410432426
1683681085,27753.12,27752.45859696106
1683681091,27752.93,27752.26860148908
1683681097,27752.07,27751.40862198431
1683681102,27751.95,27751.28862484411
1683681108,27751.94,27751.278625082425
1683681151,27755.62,27754.353230945813
1683681156,27755.62,27754.353230945813
1683681162,27759.16,27757.89306937989
1683681168,27759.17,27757.903068923486
1683681174,27759.99,27758.723031498615
1683681216,27752.02,27752.27688603343
1683681221,27752.02,27752.27688603343
1683681227,27755.47,27755.726917968288
1683681233,27744.59,27744.846817257778
1683681239,27744.58,27744.836817165215
1683681281,27729.98,27729.203503198456
1683681287,27729.98,27729.203503198456
1683681293,27739.37,27738.593240259033
1683681299,27739.38,27738.603239979013
1683681305,27739.37,27738.592623061424
1683681348,27735.38,27736.16689690292
1683681353,27735.38,27736.16689690292
1683681359,27735.37,27736.156896619203
1683681365,27730.02,27730.807630164814
1683681371,27730.03,27730.817630448848
1683681414,27730.69,27730.664636434867
1683681420,27730.69,27730.663160002467
1683681426,27730.7,27730.67315999279
1683681432,27730.69,27730.663160002467
1683681437,27728.0,27727.973162606067
1683681480,27722.13,27722.39999717646
1683681486,27719.6,27719.867399266404
1683681491,27719.59,27719.857399169938
1683681497,27723.59,27723.857437756247
1683681503,27723.59,27723.857437756247
1683681547,27722.58,27733.69857391998
1683681552,27722.58,27733.69857391998
1683681559,27718.65,27729.76699773207
1683681564,27718.83,27729.94706992388
1683681571,27718.83,27729.94706992388
1683681616,27721.59,27721.265459554554
1683681622,27721.59,27721.265459554554
1683681628,27721.59,27721.265459554554
1683681634,27721.6,27721.275459437482
1683681640,27729.68,27729.355364843817
1683681687,27734.49,27734.3571251231
1683681693,27733.01,27732.877132213718
1683681700,27733.01,27732.877132213718
1683681706,27733.02,27732.88713216581
1683681712,27733.02,27732.88713216581
1683681757,27731.15,27731.857674313294
1683681763,27733.87,27734.577743725276
1683681768,27733.87,27734.577743725276
1683681774,27749.79,27750.498149989537
1683681780,27788.42,27789.13171565306
1683681825,27815.42,27816.4073912792
1683681831,27813.04,27814.027306794003
1683681837,27813.05,27814.037307148985
1683681843,27815.42,27816.39787003134
1683681848,27796.36,27797.337199964062
1683681894,27802.01,27803.43026255793
1683681900,27800.33,27801.75017673532
1683681906,27797.41,27798.801797933855
1683681912,27797.4,27798.79179743316
1683681918,27795.84,27797.23171932499
1683681961,27782.55,27782.88236674911
1683681967,27783.61,27783.942379430046
1683681973,27782.36,27782.692364476112
1683681979,27790.57,27790.902462693553
1683681984,27790.75,27791.08246484692
1683682029,27764.01,27773.422809605287
1683682034,27767.83,27777.24410469677
1683682040,27764.75,27774.163060486884
1683682046,27764.74,27774.153057096595
1683682052,27767.82,27777.234101306472
1683682098,27759.72,27759.470563110364
1683682103,27759.74,27759.490562930652
1683682109,27759.73,27759.480563020505
1683682115,27764.73,27764.48051809266
1683682121,27764.73,27764.48051809266
1683682165,27756.01,27757.039247903853
1683682171,27756.72,27757.749274232065
1683682177,27756.72,27757.749274232065
1683682183,27757.77,27758.799313168147
1683682188,27757.77,27758.799313168147
1683682235,27751.08,27750.76975766541
1683682240,27746.51,27746.19980875558
1683682247,27746.5,27746.189808867377
1683682252,27745.22,27744.909823177095
1683682258,27738.46,27738.149898750304
1683682304,27725.21,27725.934918797524
1683682310,27729.83,27730.555039594623
1683682315,27729.95,27730.675042732208
1683682321,27730.07,27730.7918427338
1683682327,27735.16,27735.881975231827
1683682374,27727.97,27728.3754620317
1683682380,27728.32,27728.7254671497
1683682385,27734.1,27734.500390053963
1683682391,27737.97,27738.37044592416
1683682397,27739.53,27739.930468445473
1683682443,27728.14,27726.028931925797
1683682449,27728.14,27726.028931925797
1683682455,27722.11,27719.999391016834
1683682461,27720.53,27718.41951130934
1683682467,27718.88,27716.76963693127
1683682513,27721.99,27722.023910001506
1683682518,27721.62,27721.653909548913
1683682525,27721.62,27721.653909548913
1683682531,27718.27,27718.30390545114
1683682537,27718.28,27718.31390546337
1683682582,27710.85,27711.383741467707
1683682588,27709.85,27710.383722206607
1683682594,27707.76,27708.29368195091
1683682600,27706.38,27706.91365537059
1683682606,27706.01,27706.543648243984
1683682652,27694.73,27693.688218144864
1683682658,27694.41,27693.36823018218
1683682664,27693.75,27692.708255009144
1683682670,27703.12,27702.077902541507
1683682675,27703.12,27702.077902541507
1683682722,27723.41,27727.510543832726
1683682728,27719.21,27723.309922614626
1683682734,27719.21,27723.309922614626
1683682740,27707.29,27711.388159538492
1683682745,27715.15,27719.2432821555
1683682796,27714.22,27714.22500059309
1683682802,27714.21,27714.211528588246
1683682808,27716.19,27716.191528697454
1683682814,27727.57,27727.571529325123
1683682820,27729.96,27729.961529456945
1683682869,27731.55,27731.190734065636
1683682874,27731.55,27731.190734065636
1683682880,27727.67,27727.310784331552
1683682886,27725.73,27725.370809464515
1683682893,27726.58,27726.220798452654
1683682942,27725.69,27726.358989440305
1683682947,27722.15,27722.818904024127
1683682953,27722.15,27722.818904024127
1683682959,27722.15,27722.818904024127
1683682965,27722.14,27722.808903782836
1683683014,27693.68,27692.803093316947
1683683020,27694.57,27693.693065135536
1683683026,27694.57,27693.693065135536
1683683032,27696.77,27695.892995473627
1683683039,27696.59,27695.713001173237
1683683088,27684.64,27685.76701212498
1683683094,27684.63,27685.75701171789
1683683100,27687.69,27688.81713628722
1683683106,27692.02,27693.070887419693
1683683112,27688.22,27689.270743213092
1683683161,27689.93,27689.594617045317
1683683167,27684.55,27684.214682208367
1683683173,27680.22,27679.884734653722
1683683179,27672.35,27672.014829975877
1683683185,27680.19,27679.85473501708
1683683235,27685.79,27685.808669680107
1683683241,27683.5,27683.518668135865
1683683247,27683.35,27683.368668034713
1683683254,27681.56,27681.578666827645
1683683260,27681.67,27681.688666901817
1683683308,27683.5,27684.369300142553
1683683314,27681.84,27682.70924801626
1683683320,27681.81,27682.67924707422
1683683326,27681.81,27682.67924707422
1683683332,27684.86,27685.729342848434
1683683382,27688.4,27688.127739908305
1683683387,27688.51,27688.237738826672
1683683393,27689.99,27689.717724273833
1683683399,27690.16,27689.88772260222
1683683405,27696.28,27695.97095409493
1683683454,27679.8,27679.177902734136
1683683460,27692.29,27691.67180864112
1683683466,27692.87,27692.251795693435
1683683472,27692.99,27692.37179301461
1683683478,27705.56,27704.941512407066
1683683527,27685.61,27685.149577386932
1683683533,27685.61,27685.149577386932
1683683538,27679.78,27679.31967434213
1683683544,27679.79,27679.329674175828
1683683550,27679.79,27679.329674175828
1683683599,27684.86,27684.640890713043
1683683605,27684.87,27684.650890633897
1683683611,27684.87,27684.650890633897
1683683617,27684.86,27684.640890713043
1683683623,27684.86,27684.640890713043
1683683673,27699.99,27714.21321636264
1683683678,27698.67,27712.892538577355
1683683684,27692.32,27706.539278019358
1683683690,27692.31,27706.529272884625
1683683696,27692.31,27706.529272884625
1683683746,27691.29,27691.25234193127
1683683752,27692.98,27692.942339633
1683683758,27692.98,27692.942339633
1683683764,27692.98,27692.9475241725
1683683770,27696.15,27696.117520455013
1683683819,27688.19,27688.18954349595
1683683825,27688.2,27688.208317452358
1683683831,27688.2,27688.208317452358
1683683837,27690.35,27690.358318098206
1683683843,27690.34,27690.348318095206
1683683893,27690.99,27696.635781318473
1683683899,27700.33,27705.977685605663
1683683905,27702.98,27708.628225901277
1683683911,27698.13,27703.77723705836
1683683917,27696.7,27702.34694550261
1683683967,27697.16,27697.43720863486
1683683973,27699.98,27700.25723685899
1683683979,27701.46,27701.737251671657
1683683985,27702.58,27702.857262881244
1683683990,27701.25,27701.52724956986
1683684039,27704.16,27703.807277791897
1683684045,27700.69,27700.33732197104
1683684050,27700.69,27700.33732197104
1683684057,27700.69,27700.33732197104
1683684063,27700.69,27700.339483912077
1683684111,27699.13,27702.584495973682
1683684117,27699.14,27702.59449722083
1683684123,27699.13,27702.56304712287
1683684129,27705.93,27709.363889919026
1683684135,27705.93,27709.363889919026
1683684186,27709.78,27709.747182189105
1683684192,27711.94,27711.90717963093
1683684198,27713.69,27713.657177558332
1683684204,27718.26,27718.227172145896
1683684210,27718.26,27718.227172145896
1683684260,27718.25,27717.698189654184
1683684266,27718.25,27717.698189654184
1683684271,27715.17,27714.618250970314
1683684277,27714.17,27713.61827087815
1683684283,27714.17,27713.61827087815
1683684336,27705.61,27713.199744367485
1683684341,27705.6,27713.189741628055
1683684347,27711.3,27718.89130310037
1683684353,27714.99,27722.582313948238
1683684359,27714.99,27722.582313948238
1683684410,27715.03,27715.30077272747
1683684416,27715.02,27715.29077262977
1683684422,27715.03,27715.299273560595
1683684428,27716.3,27716.569285899655
1683684434,27716.3,27716.569285899655
1683684487,27712.93,27712.97168887965
1683684493,27712.93,27712.97168887965
1683684499,27712.93,27712.97168887965
1683684505,27712.92,27712.961688864605
1683684511,27712.92,27712.961688864605
1683684563,27716.32,27717.02856850819
